AcresBurned,RunSumAcresBurned,ArchiveYear,Counties,Started,Extinguished,Fatalities,Injuries,Latitude,Longitude,Location,MajorIncident,Name,PersonnelInvolved,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,WaterTenders
35,48042,2015,Mendocino,2015-06-28,2015-06-29,Unknown,,39.7806004,-123.248214,"off Highway 162 and Cemetery Lane, Covelo",FALSE,Covelo Fire,,,Unknown,,,
211,48253,2015,Santa Barbara,2015-06-29,2015-06-29,Unknown,,0,0,off Burton Mesa Blvd in Lompoc,FALSE,Mesa Fire,,,Unknown,,,
42,48295,2015,Santa Clara,2015-06-30,2015-07-03,Unknown,,0,0,"off Hwy 101 near Monterey Frontage Rd, South of Gilroy",FALSE,Highway Fire,,,Unknown,,,
111,48406,2015,Lassen,2015-06-30,2015-07-03,Unknown,,0,0,"near Shinn Mountain, 10 miles southeast of Ravendale",FALSE,Shinn Fire,,,Unknown,,,
75,48481,2015,Butte,2015-07-01,2015-07-01,Unknown,,0,0,"off LaPorte Rd, east of Bangor",FALSE,Webb Fire,,,Unknown,,,
150,48631,2015,Riverside,2015-07-01,2015-07-04,Unknown,,0,0,off Merwin St in Moreno Valley ,FALSE,Merwin Fire,,,Unknown,,,
355,48986,2015,Amador,2015-07-02,2015-07-02,Unknown,,0,0,"off Ione Rd & Hwy 16, east of Rancho Murietta",TRUE,Ione Fire,,,Unknown,,,5
45,49031,2015,Alameda,2015-07-02,2015-07-03,Unknown,,0,0,"off Geary Road in the Sunol Wilderness, 10 miles east of Fremont",FALSE,Geary Fire,,,Unknown,,,
25,49056,2015,El Dorado,2015-07-02,2015-07-05,Unknown,,0,0,off Bucks Bar Cir & Buckaroo Trail near Somerset,FALSE,Buckaroo Fire,,,Unknown,,,
35,49091,2015,El Dorado,2015-07-03,2015-07-05,Unknown,,0,0,"off French Creek Rd, south of Shingle Springs",FALSE,Ranch Fire,,,Unknown,,,
23,49114,2015,Mendocino,2015-07-04,2015-07-05,Unknown,,39.0263,-123.303,"off Hwy 253, 4 miles northeast of Boonville (Mendocino County).",FALSE,Soda Fire,,,Unknown,,,
170,49284,2015,Tehama,2015-07-04,2015-07-04,Unknown,,39.8448,-122.3638,"off Black Butte Rd, near Black Butte Lake",FALSE,Black Fire,,,Unknown,,,
150,49434,2015,Solano,2015-07-06,2015-07-08,Unknown,,38.4113,-122.0789,"Mix Canyon Rd & Sky Ranch Road, northwest of Vacaville",TRUE,Sky Fire,275,,Unknown,,,5
18,49452,2015,Shasta,2015-07-07,2015-07-08,Unknown,1,40.5953,-122.4397,"Middle Creek Road, north of Hwy 299",TRUE,Keswick Fire,,,Unknown,,,3
43,49495,2015,Modoc,2015-07-09,2015-07-13,Unknown,,0,0,Near Clear Lake and Mason Reservoir,FALSE,Mason Fire ,,,Unknown,,,
95,49590,2015,San Luis Obispo,2015-07-10,2015-07-15,Unknown,,35.7183,-121.0157,southwest of Lake Nacimiento ,TRUE,Deer Fire,379,,Unknown,,,2
40,49630,2015,Solano,2015-07-10,2015-07-10,Unknown,,38.1029,-122.1578,Lake Herman Rd and Sky Valley Rd,TRUE,Ascot Fire,70,,Unknown,,,2
21,49651,2015,Riverside,2015-07-12,2015-07-12,Unknown,,33.986204,-117.43942,"San Timoteo Canyon Rd and Redlands Blvd, northeast of Moreno Valley",TRUE,Spider Fire,,,Unknown,,,2
54,49705,2015,San Bernardino,2015-07-12,2015-07-21,Unknown,,34.0783472,-117.0487863,"Mill Creek Rd and Bryant St, east of Mentone",TRUE,Mill 2 Fire,,,Unknown,,,
214,49919,2015,Orange,2015-07-13,2015-07-15,Unknown,,33.7626,-117.7274,"Hwy 241, south of Santiago Canyon Rd, near Irvine Lake (Orange County)",FALSE,241 Fire,,,Unknown,,,
181,50100,2015,Siskiyou,2015-07-13,2015-07-14,Unknown,,41.8048,-122.5029,5 miles North of the community of Montague on Cooley Rd,FALSE,Cooley Fire,,,Unknown,,,
25,50125,2015,San Diego,2015-07-16,2015-07-17,Unknown,,33.21407,-116.73472,"off Highway 76, near Moretti Junction, near Lake Henshaw",FALSE,Lake Fire,,,Unknown,,,
4250,54375,2015,San Bernardino,2015-07-17,2015-07-21,Unknown,,34.339,-117.478,"off Interstate 15, south of Oaks Hills, in the Cajon Pass area",TRUE,North Fire,215,4,68,,,
200,54575,2015,Los Angeles,2015-07-17,2015-08-04,Unknown,,34.367,-117.683,Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines,FALSE,Pines Fire ,,,Unknown,,,
60,54635,2015,Fresno,2015-07-18,2015-07-22,Unknown,,0,0,"off Powerhouse Rd, near Kercknoff Lake, north of the community of Auberry",FALSE,Kerkhoff Fire,,,Unknown,,,
1333,55968,2015,Merced,2015-07-18,2015-07-21,Unknown,,0,0,"off McCabe Rd and I-5, north of San Luis Reservoir",TRUE,McCabe Fire,13,,Unknown,,,
6980,62948,2015,Tulare,2015-07-19,2015-09-05,Unknown,,36.24,-118.54,"Golden Trout Wilderness, Sequoia National Forest",FALSE,Cabin Fire,,,Unknown,,,
25,62973,2015,San Benito,2015-07-20,2015-07-20,Unknown,,36.8727,-121.5681,"off Hwy 101 between Anzar Rd & Hwy 156, in Aromas",FALSE,Betabel Fire,,,Unknown,,,
430,63403,2015,Tulare,2015-07-21,2015-07-26,Unknown,,36.085212,-118.824235,"Globe Dr and Mountain Rd, Springville",TRUE,Triple Fire,,,Unknown,,,
24,63427,2015,Siskiyou,2015-07-21,2015-07-22,Unknown,,41.999341,-121.891226,"Off Hwy 161 & Hwy 97, northeast of Dorris",TRUE,Dorris Fire,49,,Unknown,,,1
26,63453,2015,Placer,2015-07-22,2015-07-22,Unknown,,38.9361,-121.1548,"Baxter Grade Rd, 3 miles West of Auburn",FALSE,Baxter Fire,,,Unknown,,,
75,63528,2015,El Dorado,2015-07-23,2015-07-29,Unknown,,38.776,-120.404,off Hwy 50 at White Hall Canyon Dr in Kyburz,FALSE,Kyburz Fire,,,Unknown,,,
116,63644,2015,Modoc,2015-07-23,2015-07-26,Unknown,,41.29226,-121.172117,"on Splawn Mountain, northeast of Bieber",FALSE,3-11 Fire,,,Unknown,,,
77,63721,2015,Modoc,2015-07-23,2015-07-25,Unknown,,40.856422,-121.101623,"in Dixie Valley, southwest of Bieber",FALSE,3-12 Fire,,,Unknown,,,
25,63746,2015,San Diego,2015-07-24,2015-07-25,Unknown,,32.682547,-116.51684,"Off of Lake Morena Drive near Lake Morena Park, north of Campo",FALSE,Park Fire,,,Unknown,,,
167,63913,2015,San Diego,2015-07-24,2015-07-26,Unknown,,33.383889,-116.868611,"On Palomar Mountain, north of the Palomar Observatory",FALSE,Cutca Fire,,,Unknown,,,
158,64071,2015,Humboldt,2015-07-24,2015-08-01,Unknown,2,41.295667,-123.784067,"off Hwy 169 & McKinnon Hill Rd, 5 miles southeast of Pecwan",TRUE,Queen Fire,57,,Unknown,,,
5702,69773,2015,Madera,2015-07-25,2015-08-13,Unknown,,37.279722,-119.50014,"off of Willow Canyon Drive and Road 274, southeast of Bass Lake",FALSE,Willow Fire,,,Unknown,,,
2304,72077,2015,Nevada,2015-07-25,2015-08-12,Unknown,6,39.192088,-120.882313,In the Steep Hollow drainage west of Alta,TRUE,Lowell Fire,27,1,2,,54,3
40,72117,2015,Stanislaus,2015-07-28,2015-07-28,Unknown,,37.24523,-121.20324,"Sullivan Rd and Orestimba Rd, 10 miles West of Newman",FALSE,Sullivan Fire,,,Unknown,,,
16,72133,2015,Humboldt,2015-07-28,2015-07-31,Unknown,,40.1093,-123.774,off Alderpoint Road & Wallan Road near Garberville ,FALSE,Buck Fire,,,Unknown,,,
400,72533,2015,Butte,2015-07-29,2015-08-03,Unknown,,39.43963,-121.38794,"Swedes Flat Road, 3 miles north of Bangor",TRUE,Swedes Fire,8,,16,,,
69438,141971,2015,Lake,2015-07-29,2015-08-14,Unknown,,38.8863538,-122.4762475,"near Morgan Valley Road and Rocky Creek Road, east of Clear Lake",TRUE,Rocky Fire,227,8,96,,,8
204,142175,2015,Tuolumne,2015-07-29,2015-08-04,Unknown,,37.823,-120.15644,off Hwy120 and Sprague Rd near Groveland ,TRUE,Big Creek Fire,115,,Unknown,,,2
75,142250,2015,Shasta,2015-07-29,2015-07-31,Unknown,2,40.509552,-122.199227,off Mallard Way in Millville ,TRUE,Mallard Fire,40,,1,,,4
212,142462,2015,Shasta,2015-07-29,2015-08-01,Unknown,2,40.415108,-122.439939,"China Gulch, Happy Valley, Southwest of Redding",TRUE,China Fire,120,1,5,,,5
195,142657,2015,Contra Costa,2015-07-30,2015-07-30,Unknown,,37.81629,-121.68113,"Vasco Rd,  3 miles southwest of Byron",FALSE,Vasco Fire,,,Unknown,,,
86,142743,2015,Tulare,2015-07-30,2015-08-05,Unknown,4,36.49845,-118.9009,5 miles north of the community of Three Rivers near Advance,TRUE,Advance Fire,150,,Unknown,,,1
90,142833,2015,Shasta,2015-07-30,2015-07-31,Unknown,,40.49865,-122.20109,"Sprig Way and Millville Plains Rd, Millville; 10 miles southeast of Redding",FALSE,Sprig Fire,,,Unknown,,,
50,142883,2015,Mendocino,2015-07-30,2015-08-03,Unknown,,39.43301,-123.36316,Community of Willits and Brooktrails,FALSE,Mendocino Lightning Fires,,,Unknown,,,
227,143110,2015,Mendocino,2015-07-30,2015-08-07,Unknown,,0,0,throughout Mendocino National Forest,FALSE,Mendocino National Forest Lightning Complex,,,Unknown,,,
29416,172526,2015,Trinity,2015-07-30,2015-08-03,Unknown,,0,0,Hyampom area,FALSE,South Complex,,,Unknown,,,
0,172526,2015,Trinity,2015-07-30,2015-08-01,Unknown,,0,0,Near Ruth Lake area,FALSE,Mad River Complex,,,Unknown,,,
4883,177409,2015,Humboldt,2015-07-30,2015-08-19,Unknown,14,0,0,"Alder Point-Blocksburg, Southeastern Humboldt County",TRUE,Humboldt Lightning Fires,1392,,7,,,10
4863,182272,2015,Modoc,2015-07-30,2015-07-31,Unknown,,41.399,-121.392,SW of Lava Campground,FALSE,Frog Fire,,,Unknown,,,
36503,218775,2015,Trinity,2015-07-30,2015-08-24,Unknown,,0,0,"Near the communities of Hayfork, Hyampom, and Harrison Gulch,",FALSE,Fork Complex,,,Unknown,,,
77081,295856,2015,Trinity,2015-07-30,2015-07-31,Unknown,,0,0,"Near the communities of Dailey Ranch, Hoboken, Denny and Trinity Village.",FALSE,River Complex,,,Unknown,,,
151623,447479,2015,Fresno,2015-07-31,2015-11-09,0,,36.874,-118.905,5 miles North of Hume Lake and 2.5 miles to the southwest of Spanish Mountain 5,FALSE,Rough Fire ,,,4,,,
30361,477840,2015,Del Norte,2015-07-31,2015-08-04,Unknown,,0,0,Gasquet area,FALSE,Gasquet Complex,,,Unknown,,,
1450,479290,2015,Merced,2015-07-31,2015-08-01,Unknown,,0,0,"off Hwy 152 & San Luis Creek, west of Santa Nella ",FALSE,Creek Fire,,,Unknown,,,
65,479355,2015,San Bernardino,2015-08-01,2015-08-05,Unknown,,0,0,"Cajon Pass, I-15 and Highway 138",FALSE,Scales Fire,,,Unknown,,,
52,479407,2015,Santa Barbara,2015-08-01,1969-12-31,Unknown,,34.9522,-120.2903,"off White Oak Ln, east of Santa Maria",FALSE,White Fire,,,Unknown,,,
7509,486916,2015,Del Norte,2015-08-01,2015-11-09,Unknown,,0,0,near Orleans,FALSE,Nickowitz Fire,,,Unknown,,,
75,486991,2015,Shasta,2015-08-02,2015-08-04,Unknown,,40.67868,-121.93244,"Fern Rd and Oak Run Rd, 1 mile east of the Community of Oak Run",TRUE,Fern Fire,,,Unknown,,,
282,487273,2015,Ventura,2015-08-02,2015-08-12,Unknown,,0,0,"Maricopa Highway 33 & Chorro Grande Canyon, north of Ojai ",FALSE,Chorro Fire,,,Unknown,,,
10570,497843,2015,Lassen,2015-08-03,2015-08-04,Unknown,,40.938,-120.105,17 miles northeast of Ravendale,FALSE,Dodge Fire,,,Unknown,,,
59,497902,2015,Shasta,2015-08-03,2015-08-04,Unknown,,40.3929,-122.40546,"Gas Point and Happy Valley Rd, west of Cottonwood",TRUE,Point Fire,,,Unknown,,,1
30,497932,2015,Yuba,2015-08-03,2015-08-05,Unknown,,39.33303,-121.18735,Colgate Powerhouse south of Dobbins,FALSE,Francis Fire,,,Unknown,,,
110,498042,2015,Tehama,2015-08-08,2015-08-09,Unknown,,40.3506868,-121.7786799,off Highwat 36 near Paynes Creek,TRUE,36 Fire,,,1,,,
55,498097,2015,San Diego,2015-08-09,2015-08-10,Unknown,,33.4115972,-117.2886249,De Luz Rd and De Luz Murrieta Rd,FALSE,De Luz Fire,,,Unknown,,,
25118,523215,2015,Lake,2015-08-09,2015-08-25,Unknown,,38.8142503,-122.4867319,"Jerusalem Valley area, northeast of Middletown",TRUE,Jerusalem Fire,,,27,,0,
543,523758,2015,Riverside,2015-08-10,2015-08-15,Unknown,,33.5736,-116.5387,Highway 74 east of Highway 371,FALSE,Anza Fire,,,Unknown,,,
1850,525608,2015,San Diego,2015-08-13,2015-08-18,Unknown,,0,0,Camp Pendleton,FALSE,Horno Fire,,,Unknown,,,
114,525722,2015,Calaveras,2015-08-13,2015-08-18,Unknown,,38.052,-120.5577,Marks Ranch Rd south of Angels Camp,TRUE,Mark Fire,20,,Unknown,,,
186,525908,2015,Ventura,2015-08-14,2015-08-16,Unknown,,0,0,Rustic Hills Drive in the Wood Ranch area Simi Valley,FALSE,Rustic Fire,,,Unknown,,,
3676,529584,2015,Mono,2015-08-14,2015-08-23,Unknown,,0,0,north of Walker Lake & north of June Lake Loop,FALSE,Walker Fire,,,Unknown,,,
112,529696,2015,Tuolumne,2015-08-15,2015-08-16,Unknown,,37.83618,-120.61691,"south of Hwy 108 & Tulloch Rd, south of Lake Tulloch",FALSE,Tulloch Fire,,,Unknown,,,
374,530070,2015,Los Angeles,2015-08-16,2015-08-20,Unknown,,0,0,"off Lincoln Ave, in the Whittier Narrows Park, City of Montebello",FALSE,Lincoln Fire,,,Unknown,,,
300,530370,2015,Los Angeles,2015-08-16,2015-08-16,Unknown,,0,0,Lake Hughes Rd at Warm Springs Rehab Center,FALSE,Warm Fire,,,Unknown,,,
2446,532816,2015,San Luis Obispo,2015-08-16,2015-08-28,Unknown,1,35.3477,-120.6269,"Off Highway 101 in the Cuesta Grade, north of San Luis Obispo",TRUE,Cuesta Fire,692,,1,,0,8
146,532962,2015,Humboldt,2015-08-18,2015-08-29,Unknown,,40.1058823,-124.0720419,"Saddle Mountain Road, 6 miles NE Shelter Cove",TRUE,Horse Fire,45,,Unknown,,,
2700,535662,2015,Alameda,2015-08-19,2015-08-22,Unknown,,37.3845,-121.3732,"off Tesla Rd near Correl Hollow, between Livermore and Tracy",TRUE,Tesla Fire,18,,Unknown,,,1
167,535829,2015,Kern,2015-08-20,2015-08-21,Unknown,,0,0,"southeast of Woody, south of Poso Flat Road & Burke Creek",FALSE,Flat Fire ,,,Unknown,,,
69,535898,2015,Siskiyou,2015-08-20,2015-08-22,Unknown,,0,0,LaHonda Well area northeast of the community of Tennant,FALSE,Prairie Fire,,,Unknown,,,
215,536113,2015,Lake,2015-08-22,2015-08-27,Unknown,,38.925764,-122.879272,"off Peterson Lane and Adobe Creek Road, near Kelseyville",TRUE,Peterson Fire,,,Unknown,,,
55,536168,2015,San Bernardino,2015-08-23,2015-09-11,Unknown,,34.23,-116.883,"at Knickerbocker Road and Pine Knot, south of Big Bear Lake",FALSE,Summit Fire,,,Unknown,,,
22,536190,2015,Lake,2015-08-24,2015-08-25,Unknown,,38.831478,-122.53428,"Jerusalem Grade Rd & June Bug Rd, 7 miles northeast of Middletown",FALSE,Grade Fire,,,Unknown,,,
128,536318,2015,Trinity,2015-08-25,2015-08-29,Unknown,,40.724898,-122.96174,"Democrat Gulch, west of Weaverville ",TRUE,Democrat Fire,,,Unknown,,,
30,536348,2015,Lassen,2015-08-29,2015-08-30,Unknown,,41.12362,-121.194256,"off of Kramer Road and 4 Corners Road, west of Beiber ",FALSE,Kramer Fire ,,,Unknown,,,
72,536420,2015,Butte,2015-09-02,2015-09-03,Unknown,,26.42,-121,"Off of Olive Tree Lane, south of Oroville ",TRUE,Olive Fire,190,,1,,,5
673,537093,2015,Lake,2015-09-02,2015-09-08,Unknown,,55.23,-122,"Off of Elk Mountain Road and Mount Dinger Road, north of Upper Lake",TRUE,Elk Fire,270,,Unknown,,,6
110,537203,2015,Sacramento,2015-09-03,2015-09-03,Unknown,,0,0,Off Apple Rd in Wilton,TRUE,Apple Fire,,,Unknown,,,4
415,537618,2015,Mariposa,2015-09-07,2015-09-11,Unknown,,0,0,"north rim of Yosemite Valley, east of Yosemite Falls",FALSE,Tenaya Fire,,,Unknown,,,
108,537726,2015,Tuolumne,2015-09-08,2015-09-15,Unknown,1,38.04684,-120.30188,"off Old Oak Ranch Rd & Big Hill Rd in the Cedar Ridge area, northeast of Sonora ",TRUE,Oak Fire,59,,3,,,
35,537761,2015,Trinity,2015-09-08,2015-09-10,Unknown,,40,41.46,Hwy 299 and Little Browns Creek Rd east of Weaverville,FALSE,Browns Fire,,,Unknown,,,
45,537806,2015,Kern,2015-09-09,2015-09-15,Unknown,,0,0,Antelope Canyon south of Tehachapi,FALSE,Antelope Fire,,,Unknown,,,
40,537846,2015,Lassen,2015-09-09,2015-09-10,Unknown,,40.400196,-120.553075,"Center Rd, east of Susanville",FALSE,Center Fire,,,Unknown,,,
170,538016,2015,Fresno,2015-09-09,2015-09-11,Unknown,,40.400196,-120.553075,Squaw Valley Road and Sand Creek Road,FALSE,Creek Fire,,,Unknown,,,
215,538231,2015,Santa Clara,2015-09-09,2015-09-10,Unknown,,0,0,"off Hwy 152 at Dinosaur Point, 3 miles west of San Luis Reservoir",FALSE,Pacheco Fire,,,Unknown,,,
1042,539273,2015,Butte,2015-09-11,2015-09-17,Unknown,1,39.5218,-121.3363,"off Lumpkin Road and Forbestown Road, Robinson Mill",TRUE,Lumpkin Fire,613,,Unknown,,,6
109,539382,2015,Shasta,2015-09-11,2015-09-13,Unknown,,40.47512,-122.52541,Windwalker Ln & Small Farms Dr in Igo,TRUE,Walker Fire,45,,Unknown,,,1
1086,540468,2015,Monterey,2015-09-19,2015-09-27,1,0,36.3699644,-121.589554,Tassajara Rd at Carmel Valley Rd,TRUE,Tassajara Fire,55,1,20,,,
95,540563,2015,Monterey,2015-09-19,2015-09-21,Unknown,,36.5696373,-121.7556029,off Laureles Grade and Highway 68 ,FALSE,Laureles Fire,,,Unknown,,,
30,540593,2015,Nevada,2015-09-22,2015-09-21,Unknown,,39.081,-121.194,"off McCourtney Rd & Perimeter Rd, east of Camp Far West Reservoir ",FALSE,McCourtney Fire,,,Unknown,,,
104,540697,2015,Butte,2015-10-02,2015-10-02,Unknown,,39.8707,-121.8938,"Munjar Rd, 10 miles north of Chico",FALSE,Munjar Fire,,,Unknown,,,
860,541557,2015,Butte,2015-10-03,2015-10-04,Unknown,,0,0,"off Hwy 99 & Meridian Rd, north of Chico",TRUE,Meridian Fire,102,,Unknown,,,2
58,541615,2015,Siskiyou,2015-10-10,2015-10-10,Unknown,,0,0,Along Military Pass Road ,FALSE,Military Fire,,,Unknown,,,
670,542285,2015,San Benito,2015-10-12,2015-10-16,Unknown,3,36.70854,-121.32734,"Cienega Rd & Limekiln Rd, south of Hollister",TRUE,Cienega Fire,108,,Unknown,,,4
21,542306,2015,Santa Barbara,2015-10-29,2015-11-09,Unknown,,34.4828,-119.63216,between Montecito Peak and Coldspring Saddle,FALSE,Gibraltar Fire,,,Unknown,,,
50,542356,2015,Ventura,2015-11-07,2015-11-07,Unknown,,34.15,-118.879444,"Hidden Valley area, southwest of Thousand Oaks",FALSE,Potrero Fire,,,Unknown,,,
29,542385,2015,Ventura,2015-11-11,2015-11-12,Unknown,,0,0,off Wood Ranch Parkway 2 miles sw of Simi Valley,FALSE,Banister Fire,,,Unknown,,,
0,542385,2015,,2015-12-31T59:59:59Z,2015-12-31T59:59:59Z,0,,,,,,,,,Unknown,,,
0,0,2016,,2016-01-01,2016-01-01,0,,,,,,,,,Unknown,,,
0,0,2016,Los Angeles,2016-04-19,2016-04-19,Unknown,,34.6888731,-118.7892593,off northbound Interstate 5 at Gorman Creek,FALSE,Gorman Fire,,,Unknown,,,
30,30,2016,Merced,2016-04-24,2016-04-24,Unknown,,37.2171,-121.08036,"I-5 & Taglio Road, east of Gustine",FALSE,Taglio Fire,,,Unknown,,,
151,181,2016,Fresno,2016-04-28,2016-04-29,Unknown,,0,0,four miles Northwest of Panoche and Interstate 5 ,FALSE,Hills Fire,,,Unknown,,,
50,231,2016,Ventura,2016-04-28,2016-04-30,Unknown,,0,0,"near Casitas Vista and Ventura Avenue, south of Casitas Springs  ",FALSE,Casitas Fire,,,Unknown,,,
150,381,2016,San Luis Obispo,2016-05-10,2016-05-10,Unknown,,35.61961,-120.39993,Wood Canyon Rd & Hwy 41,FALSE,Shedd Fire,,,Unknown,,,
25,406,2016,Monterey,2016-05-12,2016-05-12,Unknown,,35.8378273,-121.0381507,"Bryson-Hesperia Rd & Interlake Rd, west of Bradley ",FALSE,Bryson Fire,,,Unknown,,,
20,426,2016,Ventura,2016-05-12,2016-05-13,Unknown,,0,0,North of Ventura,FALSE,Edison Fire,,,Unknown,,,
132,558,2016,Fresno,2016-05-15,2016-05-17,Unknown,,36.78769,-119.38248,"Off Piedra Rd near Kings River, 10 miles northeast of Sanger",FALSE,Avocado Fire,,,Unknown,,,
169,727,2016,Placer,2016-05-17,2016-05-19,Unknown,,38.8390117,-121.3090268,"Off Athens Ave & Industrial Blvd, south of Lincoln",FALSE,Athens Fire,,,Unknown,,,
3712,4439,2016,San Luis Obispo,2016-05-18,2016-05-20,Unknown,,0,0,10 miles northwest of Paso Robles on Camp Roberts Military Base,FALSE,Roberts Fire,,,Unknown,,,
56,4495,2016,Siskiyou,2016-05-19,2016-05-21,Unknown,,0,0,"Old Dump Road/T-3 Road, 2 miles east of Weed",FALSE,Mill Fire,,,Unknown,,,
3876,8371,2016,Monterey,2016-05-22,2016-05-25,Unknown,1,36.38123,-121.20059,"Metz Rd & Blue Jay Ln, southeast of Soledad",TRUE,Metz Fire,22,,Unknown,,,
156,8527,2016,Los Angeles,2016-05-23,2016-05-25,Unknown,,34.276,-118.354,"Hwy 210 and Wheatland Ave, southeast of Lake View Terrace",FALSE,Wheatland Fire,,,Unknown,,,
278,8805,2016,Fresno,2016-05-25,2016-05-25,Unknown,,36.88286,-119.654,"DeWolf Ave & Behymer Ave, 2 miles north of Clovis",FALSE,DeWolf Fire,,,Unknown,,,
11,8816,2016,Shasta,2016-05-25,2016-05-25,Unknown,,0,0,"off Fiddler Rd and Straight Arrow Rd, 8 miles east of Ono",FALSE,Fiddler Fire,,,Unknown,,,
91,8907,2016,Butte,2016-05-27,2016-05-27,Unknown,,39.33035,-121.78973,"La Porte Road at Dunstone Road, west of Bangor ",FALSE,Dunstone Fire,,,Unknown,,,
30,8937,2016,Butte,2016-05-29,2016-05-29,Unknown,,39.624017,-121.595093,Hwy 70 between Clark Rd and Wheelock Rd,TRUE,70 Fire,42,,Unknown,,,2
85,9022,2016,Tuolumne,2016-05-30,2016-06-01,Unknown,,37.927613,-120.528836,"off New Peoria Flat Road and Old Melones Road, west of Sonora",TRUE,Tulloch Fire,,,Unknown,,,
43,9065,2016,Kern,2016-05-30,2016-06-04,Unknown,,0,0,"Jacobs Road, community of Caliente",FALSE,Walker Fire,,,Unknown,,,
70,9135,2016,San Diego,2016-05-31,2016-06-07,Unknown,3,33.41639,-117.08829,"in the 38000 block of Pala Temecula Road, Temecula",TRUE,Pala Fire,250,,7,,,
0,9135,2016,Tulare,2016-06-01,2016-06-19,Unknown,,35.84883,-118.08591,15 miles northeast of Kernville,FALSE,Chimney Fire,,,Unknown,,,
25,9160,2016,El Dorado,2016-06-03,2016-06-04,Unknown,,38.64107,-120.6955,off Mount Aukum Road & Grizzly Flat Road,TRUE,Aukum Fire,,,Unknown,,,
32,9192,2016,Sacramento,2016-06-03,2016-06-03,Unknown,,38.3131,-121.06452,off Highway 104 and Clay East Road near Herald,FALSE,Clay Fire,,,Unknown,,,
30,9222,2016,San Benito,2016-06-03,2016-06-03,Unknown,,36.80296,-121.40304,"off Hidden Valley Rd & Cienega Rd, southwest of Hollister ",FALSE,Hidden Fire,,,Unknown,,,
139,9361,2016,Riverside,2016-06-04,2016-06-07,Unknown,1,33.476894,-117.140883,Off I-15 south of Temecula Parkway,TRUE,Temecula Fire,,,Unknown,,,
2520,11881,2016,Monterey,2016-06-04,2016-06-20,Unknown,,36.01542,-121.25029,off Mission Creek Rd and Milpitas Rd north of Fort Hunter Liggett,FALSE,Coleman Fire,,,Unknown,,,
0,11881,2016,Los Angeles,2016-06-04,2016-06-13,Unknown,,0,0,"off of Old Topanga Canyon Road and Mulholland Hwy, Calabasas",FALSE,Old Fire,,,Unknown,,,
0,11881,2016,San Luis Obispo,2016-06-04,2016-06-19,Unknown,,35.01382,-119.58206,Off Soda Lake Road north of Cuyama,FALSE,Soda Fire,,,Unknown,,,
2860,14741,2016,Siskiyou,2016-06-07,2016-11-08,Unknown,,41.623,-123.557,15 miles SW of Happy Camp (Siskiyou County),FALSE,Pony Fire,,,Unknown,,,
120,14861,2016,Stanislaus,2016-06-07,2016-06-09,Unknown,,37.17072,-121.42238,"Henry W. Coe State Park, Del Puerto Canyon, 20 miles west of Gustine (Stanislaus Co.)",FALSE,Coe Fire,,,Unknown,,,
80,14941,2016,Tehama,2016-06-11,2016-06-11,Unknown,,39.7947,-121.857,"off Corning Road and Gaylord Avenue, east of Corning",FALSE,Hoag Fire,,,Unknown,,,
61,15002,2016,Kern,2016-06-11,2016-06-12,Unknown,,35.77135,-120.251,"off Highway 41, one mile east of the county line",FALSE,Cotton Fire,,,Unknown,,,
24,15026,2016,Shasta,2016-06-11,2016-06-12,Unknown,,40.61388,-122.46777,near Keswick Dam Road x Iron Mountain Road N/W of Redding,FALSE,Keswick Fire,,,Unknown,,,
83,15109,2016,San Benito,2016-06-12,2016-06-12,Unknown,,36.49914,-121.04993,"off Old Hernandez Road, five miles east of Pinnacles National Park",FALSE,Old Fire,,,Unknown,,,
83,15192,2016,Calaveras,2016-06-15,2016-06-16,Unknown,1,0,0,"off Cheyenne Way, south of Camanche Reservoir ",TRUE,Cheyenne Fire,,1,2,,,
7474,22666,2016,Santa Barbara,2016-06-15,2016-07-12,Unknown,,34.776,-119.643,west of Goleta,TRUE,Sherpa Fire,,,Unknown,,,
237,22903,2016,San Benito,2016-06-17,2016-06-20,Unknown,,0,0,"north of Hwy 198, east of Hwy 25",TRUE,King Fire ,,,2,,,
210,23113,2016,Amador,2016-06-17,2016-06-21,Unknown,,38.26874,-120.90265,"off Camanche Parkway North & Coal Mine Road, south of Ione",TRUE,Camanche Fire,,,Unknown,,,
70,23183,2016,Monterey,2016-06-18,2016-06-20,Unknown,,36.2833,-121.3306,"Arroyo Seco Rd &  Elm Ave, E of Greenfield",FALSE,Arroyo Fire,,,Unknown,,,
7609,30792,2016,San Diego,2016-06-19,2016-06-30,Unknown,,32.60729,-116.63028,off Highway 188 and Highway 94 near Tecate,TRUE,Border Fire,78,,16,,,
5399,36191,2016,Los Angeles,2016-06-20,2018-04-23,Unknown,,0,0,south of Azusa,FALSE,San Gabriel Complex (Formerly Fish & Reservoir Fires),,,Unknown,,,
112,36303,2016,Butte,2016-06-20,2016-06-20,Unknown,,39.595,-121.6008,"Off Coal Canyon Rd & Hwy 70, north of Oroville",FALSE,Coal Fire,,,Unknown,,,
43,36346,2016,Tehama,2016-06-21,2016-06-21,Unknown,,39.93965,-122.40142,"off Paskenta Rd & Boggs and Chaplin Rd, 18 miles west of Corning",FALSE,Paskenta Fire,,,Unknown,,,
